0                    13856
1                    4092
2                    1578
3                    824
4                    504
5                    307
6                    207
7                    147
8                    128
9                    104
10                    76
11                    75
12                    60
13                    42
14                    42
15                    30
16                    28
17                    33
18                    30
19                    28
20                    27
21                    17
22                    16
23                    22
24                    16
25                    15
26                    9
27                    14
28                    17
29                    10
30                    7
31                    8
32                    16
33                    6
34                    8
35                    7
36                    10
37                    7
38                    5
39                    7
40                    3
41                    3
42                    2
43                    3
44                    8
45                    8
46                    3
47                    2
48                    4
49                    3
50                    7
52                    4
53                    2
54                    6
55                    3
56                    1
57                    5
58                    1
59                    4
60                    1
61                    3
62                    2
63                    2
65                    3
66                    3
67                    2
68                    1
69                    2
70                    4
71                    1
72                    3
73                    3
75                    3
76                    2
77                    2
79                    1
80                    2
83                    1
84                    1
85                    1
86                    1
87                    2
88                    1
89                    2
90                    1
91                    2
92                    1
93                    1
94                    2
95                    1
97                    2
98                    1
99                    1
100                    1
101                    2
103                    2
104                    1
106                    1
107                    1
108                    2
109                    1
110                    1
111                    3
112                    2
113                    2
114                    1
118                    2
119                    2
120                    1
121                    1
124                    1
130                    1
134                    1
138                    2
142                    1
145                    1
146                    1
149                    2
150                    1
153                    1
154                    1
156                    2
158                    1
159                    3
160                    1
161                    1
167                    1
172                    1
173                    1
177                    1
180                    1
183                    1
185                    1
196                    1
199                    1
201                    1
205                    1
212                    1
215                    1
234                    1
243                    1
244                    1
245                    1
254                    1
262                    1
265                    1
266                    1
267                    2
278                    1
283                    1
286                    1
299                    1
305                    1
321                    1
323                    1
329                    1
348                    1
376                    1
377                    1
386                    1
401                    1
425                    1
452                    1
457                    1
474                    1
495                    1
526                    1
535                    1
545                    1
563                    1
572                    1
594                    1
603                    1
618                    1
716                    1
777                    1
778                    1
827                    1
832                    1
1078                    1
1128                    1
1160                    1
1174                    1
1275                    1
1658                    1
1660                    1
1848                    1
2026                    1
2052                    1
2808                    1
3028                    1
10446                    1
