0                    2318
1                    5596
2                    3860
3                    2838
4                    1945
5                    1341
6                    1091
7                    734
8                    613
9                    509
10                    374
11                    293
12                    268
13                    166
14                    154
15                    119
16                    99
17                    105
18                    94
19                    71
20                    80
21                    68
22                    69
23                    41
24                    42
25                    43
26                    35
27                    41
28                    40
29                    30
30                    28
31                    30
32                    22
33                    21
34                    16
35                    12
36                    5
37                    12
38                    3
39                    5
40                    9
41                    2
42                    7
43                    4
44                    1
45                    3
46                    1
47                    2
48                    3
50                    2
51                    2
52                    1
53                    1
54                    1
58                    1
64                    1
65                    1
66                    1
72                    1
103                    1
