0                    1842
1                    4353
2                    3174
3                    2341
4                    1514
5                    1058
6                    848
7                    582
8                    464
9                    364
10                    232
11                    167
12                    145
13                    112
14                    102
15                    93
16                    116
17                    93
18                    95
19                    88
20                    79
21                    74
22                    60
23                    47
24                    45
25                    56
26                    42
27                    45
28                    35
29                    34
30                    34
31                    37
32                    34
33                    24
34                    25
35                    22
36                    16
37                    14
38                    10
39                    9
40                    11
41                    9
42                    7
43                    8
44                    4
45                    9
46                    10
47                    9
48                    2
49                    2
50                    6
51                    5
52                    2
53                    1
54                    3
55                    1
56                    3
59                    2
60                    1
61                    2
62                    1
63                    1
65                    1
68                    1
71                    2
76                    1
86                    1
